age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,split,capital_gain_topcoded,hours_iqr_outlier,high_sampling_weight,income_binary,net_capital,has_capital_gain,has_capital_loss,log_capital_gain,log_fnlwgt,age_group,hours_group,is_united_states,is_married,workclass_simplified
34,Private,245487,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K,train,0,0,0,0,0,0,0,0.0,12.411003345184987,25-34,overtime,0,1,Private
25,Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.082531186934999,25-34,reduced,1,0,Self-employed
32,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.13792762879849,25-34,standard_40,1,0,Private
38,Private,28887,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,10.271181562957294,35-44,overtime,1,1,Private
43,Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.585111639401815,35-44,overtime,1,0,Self-employed
40,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,train,0,1,0,1,0,0,0,0.0,12.173161982072914,35-44,very_high,1,1,Private
54,Private,302146,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,12.618668932897123,45-54,part_time,1,0,Private
35,Federal-gov,76845,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.249558698165147,35-44,standard_40,1,1,Government
43,Private,117037,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50K,train,0,0,0,0,-2042,0,1,0.0,11.670253947373018,35-44,standard_40,1,1,Private
59,Private,109015,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.599249939429656,55-64,standard_40,1,0,Private
56,Local-gov,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.286970372186165,55-64,standard_40,1,1,Government
19,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.033473670884343,17-24,standard_40,1,0,Private
54,Unknown,180211,Some-college,10,Married-civ-spouse,Unknown,Husband,Asian-Pac-Islander,Male,0,0,60,South,>50K,train,0,1,0,1,0,0,0,0.0,12.101889214613987,45-54,very_high,0,1,Unpaid/Unknown
39,Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,12.813828045936097,35-44,very_high,1,0,Private
49,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.172345216625278,45-54,standard_40,1,1,Private
23,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.158509228598565,17-24,very_high,1,0,Government
20,Private,266015,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.491311736330815,17-24,overtime,1,0,Private
45,Private,386940,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States,<=50K,train,0,0,0,0,-1408,0,1,0.0,12.866027505609146,45-54,standard_40,1,0,Private
30,Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.001299521033468,25-34,standard_40,1,1,Government
22,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,12.649196349886177,17-24,part_time,1,1,Government
48,Private,242406,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,<=50K,train,0,0,0,0,0,0,0,0.0,12.398373410648126,45-54,standard_40,0,0,Private
21,Private,197200,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.19197879213173,17-24,standard_40,1,0,Private
19,Private,544091,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,<=50K,train,0,1,1,0,0,0,0,0.0,13.206873629186362,17-24,reduced,1,1,Private
31,Private,84154,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,Unknown,>50K,train,0,0,0,1,0,0,0,0.0,11.340415615560266,25-34,standard_40,0,1,Private
48,Self-emp-not-inc,265477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.489287253707301,45-54,standard_40,1,1,Self-employed
31,Private,507875,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,13.13799260227652,25-34,overtime,1,1,Private
53,Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.390836923913291,45-54,standard_40,1,1,Self-employed
24,Private,172987,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.060977506912261,17-24,overtime,1,1,Private
49,Private,94638,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.457824932239724,45-54,standard_40,1,0,Private
25,Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.57757068257493,25-34,reduced,1,0,Private
57,Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.730493434810473,55-64,standard_40,1,1,Government
53,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.880079312914011,45-54,standard_40,1,1,Private
44,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.762555141520265,35-44,standard_40,1,0,Private
41,State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.528838183430278,35-44,standard_40,1,1,Government
29,Private,271466,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.51159586400737,25-34,overtime,1,0,Private
25,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,10.382079198968396,25-34,standard_40,1,1,Private
18,Private,226956,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,Unknown,<=50K,train,0,1,0,0,0,0,0,0.0,12.332515851207145,17-24,reduced,0,0,Private
47,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,>50K,train,0,1,0,1,-1902,0,1,0.0,10.855840167555305,45-54,very_high,0,1,Private
50,Federal-gov,251585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K,train,0,1,0,1,0,0,0,0.0,12.435540158381071,45-54,very_high,1,0,Government
47,Self-emp-inc,109832,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,11.606716309350618,45-54,very_high,1,0,Self-employed
43,Private,237993,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.380000742251799,35-44,standard_40,1,1,Private
46,Private,216666,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K,train,0,0,0,0,0,0,0,0.0,12.286116891664065,45-54,standard_40,0,1,Private
35,Private,56352,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,<=50K,train,0,0,0,0,0,0,0,0.0,10.939390756737573,35-44,standard_40,0,1,Private
41,Private,147372,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.900722066924857,35-44,overtime,1,1,Private
30,Private,188146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50K,train,0,0,0,0,5013,1,0,8.519989278718239,12.144978851169512,25-34,standard_40,1,1,Private
30,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,<=50K,train,0,0,0,0,2407,1,0,7.786551806428712,10.993681170094515,25-34,standard_40,1,1,Private
32,Unknown,293936,7th-8th,4,Married-spouse-absent,Unknown,Not-in-family,White,Male,0,0,40,Unknown,<=50K,train,0,0,0,0,0,0,0,0.0,12.591120737644069,25-34,standard_40,0,1,Unpaid/Unknown
48,Private,149640,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.915994371144912,45-54,standard_40,1,1,Private
42,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,train,0,0,0,1,0,0,0,0.0,11.666787531724168,35-44,overtime,1,1,Private
29,Private,105598,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,11.56740418051249,25-34,very_high,1,0,Private
36,Private,155537,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.954645353737565,35-44,standard_40,1,1,Private
28,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.118202718273533,25-34,standard_40,1,0,Private
53,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.042653310789234,45-54,standard_40,1,1,Private
49,Self-emp-inc,191681,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.16359302791155,45-54,overtime,1,1,Self-employed
25,Unknown,200681,Some-college,10,Never-married,Unknown,Own-child,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.209476844663737,25-34,standard_40,1,0,Unpaid/Unknown
19,Private,101509,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,11.527912594778476,17-24,reduced,1,0,Private
31,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.644246928048043,25-34,standard_40,1,0,Private
29,Self-emp-not-inc,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,>50K,train,0,1,0,1,0,0,0,0.0,11.997195592054249,25-34,very_high,1,1,Self-employed
23,Private,211678,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.262826255225757,17-24,standard_40,1,0,Private
79,Private,124744,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,11.734026932650213,65+,part_time,1,1,Private
27,Private,213921,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico,<=50K,train,0,0,0,0,0,0,0,0.0,12.273366741581519,25-34,standard_40,0,0,Private
40,Private,32214,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,10.380187461572742,35-44,standard_40,1,1,Private
67,Unknown,212759,10th,6,Married-civ-spouse,Unknown,Husband,White,Male,0,0,2,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,12.267920048856254,65+,part_time,1,1,Unpaid/Unknown
18,Private,309634,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,12.643149463403748,17-24,reduced,1,0,Private
31,Local-gov,125927,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.743465594034657,25-34,standard_40,1,1,Government
18,Private,446839,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,13.009955867684784,17-24,reduced,1,0,Private
52,Private,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Cuba,<=50K,train,0,0,0,0,0,0,0,0.0,12.530023964454791,45-54,standard_40,0,1,Private
46,Private,51618,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,10.851645100748655,45-54,standard_40,1,1,Private
59,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.982541519118438,55-64,overtime,1,1,Private
44,Private,343591,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,>50K,train,0,0,0,1,14344,1,0,9.571156728415465,12.747210185934108,35-44,standard_40,1,0,Private
53,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.754927888763527,45-54,reduced,1,0,Private
49,Local-gov,268234,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.499618740942523,45-54,standard_40,1,1,Government
33,Private,202051,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.216280368997595,25-34,overtime,1,1,Private
30,Private,54334,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,10.902923865496952,25-34,standard_40,1,0,Private
43,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.92602727400971,35-44,overtime,1,0,Government
57,Private,249977,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.429128192972156,55-64,standard_40,1,1,Private
37,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.566299772988144,35-44,standard_40,1,0,Private
28,Private,212563,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,12.266998398472667,25-34,reduced,1,0,Private
30,Private,117747,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,Unknown,<=50K,train,0,0,0,0,-1573,0,1,0.0,11.67630202659641,25-34,reduced,0,1,Private
34,Local-gov,226296,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.329603574794914,25-34,standard_40,1,1,Government
29,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.657770120619901,25-34,overtime,1,0,Government
48,Self-emp-not-inc,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,>50K,train,0,1,0,1,-1902,0,1,0.0,12.161483146201341,45-54,very_high,1,1,Self-employed
37,Private,202683,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.219403394938817,35-44,overtime,1,1,Private
48,Private,171095,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,England,<=50K,train,0,0,0,0,0,0,0,0.0,12.049980081465574,45-54,standard_40,0,0,Private
32,Federal-gov,249409,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.426853407655194,25-34,standard_40,1,0,Government
76,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,11.729584034168633,65+,standard_40,1,1,Private
44,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K,train,0,1,0,1,15024,1,0,9.617470759403409,12.197450582139075,35-44,very_high,1,1,Private
47,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.912486511691297,45-54,overtime,1,0,Self-employed
20,Private,188300,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.145797025305598,17-24,standard_40,1,0,Private
29,Private,103432,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.546679339075448,25-34,standard_40,1,0,Private
32,Self-emp-inc,317660,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K,train,0,0,0,1,7688,1,0,8.94754601503218,12.668740055404086,25-34,standard_40,1,1,Self-employed
17,Unknown,304873,10th,6,Never-married,Unknown,Own-child,White,Female,34095,0,32,United-States,<=50K,train,0,1,0,0,34095,1,0,10.436935354338399,12.627653855480041,17-24,reduced,1,0,Unpaid/Unknown
30,Private,194901,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.180252147115654,25-34,standard_40,1,0,Private
31,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.150908711979664,25-34,standard_40,1,0,Government
42,Private,124692,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.733609995369179,35-44,standard_40,1,1,Private
24,Private,432376,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.977053171843112,17-24,standard_40,1,0,Private
38,Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,11.087130090388813,35-44,standard_40,1,1,Private
56,Self-emp-not-inc,335605,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Canada,>50K,train,0,0,0,1,-1887,0,1,0.0,12.723693131842069,55-64,overtime,0,1,Self-employed
28,Private,377869,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,United-States,<=50K,train,0,1,0,0,4064,1,0,8.310169021981912,12.842305500105365,25-34,reduced,1,1,Private
36,Private,102864,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.54117272790833,35-44,standard_40,1,0,Private
53,Private,95647,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.468430065083664,45-54,overtime,1,1,Private
56,Self-emp-inc,303090,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.621788369434473,55-64,overtime,1,1,Self-employed
49,Local-gov,197371,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.19284555194908,45-54,standard_40,1,1,Government
55,Private,247552,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,12.419379979480023,55-64,very_high,1,1,Private
22,Private,102632,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.538914797431477,17-24,overtime,1,0,Private
21,Private,199915,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.20565255730547,17-24,standard_40,1,0,Private
40,Private,118853,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,11.685651128090736,35-44,very_high,1,1,Private
30,Private,77143,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,Germany,<=50K,train,0,0,0,0,0,0,0,0.0,11.25342908419022,25-34,standard_40,0,0,Private
29,State-gov,267989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.498704945363995,25-34,overtime,1,1,Government
19,Private,301606,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.616880124395673,17-24,reduced,1,0,Private
47,Private,287828,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.570121832778748,45-54,standard_40,1,1,Private
20,Private,111697,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,<=50K,train,0,1,0,0,-1719,0,1,0.0,11.62355407979404,17-24,reduced,1,0,Private
31,Private,114937,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,11.652148131527536,25-34,standard_40,1,1,Private
35,Unknown,129305,HS-grad,9,Married-civ-spouse,Unknown,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.769936967395626,35-44,standard_40,1,1,Unpaid/Unknown
39,Private,365739,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.809677977428624,35-44,standard_40,1,0,Private
28,Private,69621,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,11.150835888329997,25-34,very_high,1,0,Private
24,Private,43323,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,United-States,<=50K,train,0,0,0,0,-1762,0,1,0.0,10.676462032955628,17-24,standard_40,1,0,Private
38,Self-emp-not-inc,120985,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,United-States,<=50K,train,0,0,0,0,4386,1,0,8.386400901166214,11.70343011540549,35-44,reduced,1,1,Self-employed
