age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,split,capital_gain_topcoded,hours_iqr_outlier,high_sampling_weight,income_binary,net_capital,has_capital_gain,has_capital_loss,log_capital_gain,log_fnlwgt,age_group,hours_group,is_united_states,is_married,workclass_simplified,workclass_code,education_code,marital_status_code,occupation_code,relationship_code,race_code,sex_code,native_country_code,age_group_code,hours_group_code,workclass_simplified_code,age_z,education_num_z,hours_per_week_z,log_capital_gain_z,log_fnlwgt_z,net_capital_z
37,Private,280464,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,United-States,>50K,train,0,1,0,1,0,0,0,0.0,12.544204218975967,35-44,very_high,1,1,Private,3,15,2,3,0,2,1,38,2,4,1,-0.12016663230755356,-0.030615176983380503,3.1938907584814404,-0.2980141118316148,0.8897524390625179,-0.13268256725509925
30,State-gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K,train,0,0,0,1,0,0,0,0.0,11.858626414290775,25-34,standard_40,0,1,Government,6,9,2,9,0,1,1,18,1,3,0,-0.6307851564059495,1.1365954198063153,-0.03430365770752064,-0.2980141118316148,-0.19720218824685518,-0.13268256725509925
23,Private,122272,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,11.71401152870049,17-24,reduced,1,0,Private,3,9,4,0,3,4,0,38,0,2,1,-1.1414036805043453,1.1365954198063153,-0.8413522617547609,-0.2980141118316148,-0.4264829759210635,-0.13268256725509925
32,Private,205019,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.230862814337392,25-34,overtime,1,0,Private,3,7,4,11,1,2,1,38,1,0,1,-0.4848941495206935,0.7475252208764167,0.7727449463397196,-0.2980141118316148,0.3929628881582107,-0.13268256725509925
40,Private,121772,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Unknown,>50K,train,0,0,0,1,0,0,0,0.0,11.70991393480758,35-44,standard_40,0,1,Private,3,8,2,2,0,1,1,39,2,3,1,0.09866987802033036,0.35845502194651807,-0.03430365770752064,-0.2980141118316148,-0.4329795378171709,-0.13268256725509925
34,Private,245487,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K,train,0,0,0,0,0,0,0,0.0,12.411003345184987,25-34,overtime,0,1,Private,3,5,2,13,0,0,1,25,1,0,1,-0.3390031426354375,-2.365036370562772,0.36922064431609947,-0.2980141118316148,0.6785680845817896,-0.13268256725509925
25,Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.082531186934999,25-34,reduced,1,0,Self-employed,5,11,4,4,3,4,1,38,1,2,2,-0.9955126736190893,-0.4196853759132791,-0.43782795973114075,-0.2980141118316148,0.1577893634619199,-0.13268256725509925
32,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.13792762879849,25-34,standard_40,1,0,Private,3,11,4,6,4,4,1,38,1,3,1,-0.4848941495206935,-0.4196853759132791,-0.03430365770752064,-0.2980141118316148,0.24561808021514975,-0.13268256725509925
38,Private,28887,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,10.271181562957294,35-44,overtime,1,1,Private,3,1,2,11,0,4,1,38,2,0,1,-0.04722112886492559,-1.1978257737730762,0.7727449463397196,-0.2980141118316148,-2.7140288926173177,-0.13268256725509925
43,Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.585111639401815,35-44,overtime,1,0,Self-employed,5,12,0,3,4,4,0,38,2,0,2,0.3175063883482143,1.5256656187362139,0.36922064431609947,-0.2980141118316148,0.9546094248332032,-0.13268256725509925
40,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,train,0,1,0,1,0,0,0,0.0,12.173161982072914,35-44,very_high,1,1,Private,3,10,2,9,0,4,1,38,2,4,1,0.09866987802033036,2.303806016596011,1.5797935503869598,-0.2980141118316148,0.30148065783968975,-0.13268256725509925
54,Private,302146,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,12.618668932897123,45-54,part_time,1,0,Private,3,11,5,7,4,2,0,38,3,1,1,1.119906926217122,-0.4196853759132791,-1.648400865802001,-0.2980141118316148,1.0078130950737427,-0.13268256725509925
35,Federal-gov,76845,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.249558698165147,35-44,standard_40,1,1,Government,0,6,2,4,0,2,1,38,2,3,0,-0.2660576391928095,-1.9759661716328734,-0.03430365770752064,-0.2980141118316148,-1.1628533045216851,-0.13268256725509925
43,Private,117037,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50K,train,0,0,0,0,-2042,0,1,0.0,11.670253947373018,35-44,standard_40,1,1,Private,3,1,2,13,0,4,1,38,2,3,1,0.3175063883482143,-1.1978257737730762,-0.03430365770752064,-0.2980141118316148,-0.4958587713139769,-0.4057628467043017
59,Private,109015,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.599249939429656,55-64,standard_40,1,0,Private,3,11,0,12,4,4,0,38,4,3,1,1.4846344434302619,-0.4196853759132791,-0.03430365770752064,-0.2980141118316148,-0.6084326242948035,-0.13268256725509925
56,Local-gov,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.286970372186165,55-64,standard_40,1,1,Government,1,9,2,12,0,4,1,38,4,3,0,1.265797933102378,1.1365954198063153,-0.03430365770752064,-0.2980141118316148,0.48191904924448686,-0.13268256725509925
19,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.033473670884343,17-24,standard_40,1,0,Private,3,11,4,2,3,4,1,38,0,3,1,-1.433185694274857,-0.4196853759132791,-0.03430365770752064,-0.2980141118316148,0.08001074561408916,-0.13268256725509925
54,Unknown,180211,Some-college,10,Married-civ-spouse,Unknown,Husband,Asian-Pac-Islander,Male,0,0,60,South,>50K,train,0,1,0,1,0,0,0,0.0,12.101889214613987,45-54,very_high,0,1,Unpaid/Unknown,7,15,2,14,0,1,1,34,3,4,3,1.119906926217122,-0.030615176983380503,1.5797935503869598,-0.2980141118316148,0.18848069800843614,-0.13268256725509925
39,Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,12.813828045936097,35-44,very_high,1,0,Private,3,11,0,3,1,4,1,38,2,4,1,0.025724374577702387,-0.4196853759132791,3.1938907584814404,-0.2980141118316148,1.317229618668337,-0.13268256725509925
49,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.172345216625278,45-54,standard_40,1,1,Private,3,11,2,2,0,4,1,38,3,3,1,0.7551794090039822,-0.4196853759132791,-0.03430365770752064,-0.2980141118316148,0.3001857107502892,-0.13268256725509925
23,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.158509228598565,17-24,very_high,1,0,Government,1,7,4,10,1,4,1,38,0,4,0,-1.1414036805043453,0.7475252208764167,0.9341546671491676,-0.2980141118316148,0.2782493366345334,-0.13268256725509925
20,Private,266015,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.491311736330815,17-24,overtime,1,0,Private,3,15,4,11,3,2,1,38,0,0,1,-1.3602401908322292,-0.030615176983380503,0.28851578391137545,-0.2980141118316148,0.8058936437979478,-0.13268256725509925
45,Private,386940,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States,<=50K,train,0,0,0,0,-1408,0,1,0.0,12.866027505609146,45-54,standard_40,1,0,Private,3,9,0,3,3,4,1,38,3,3,1,0.46339739523347023,1.1365954198063153,-0.03430365770752064,-0.2980141118316148,1.3999896553073936,-0.3209769029379969
30,Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.001299521033468,25-34,standard_40,1,1,Government,0,15,2,0,3,4,1,38,1,3,0,-0.6307851564059495,-0.030615176983380503,-0.03430365770752064,-0.2980141118316148,-1.556457734990676,-0.13268256725509925
22,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,12.649196349886177,17-24,part_time,1,1,Government,6,15,2,7,0,2,1,38,0,1,0,-1.2143491839469733,-0.030615176983380503,-2.051925167825621,-0.2980141118316148,1.0562130241981866,-0.13268256725509925
48,Private,242406,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,<=50K,train,0,0,0,0,0,0,0,0.0,12.398373410648126,45-54,standard_40,0,0,Private,3,1,4,6,4,4,1,32,3,3,1,0.6822339055613542,-1.1978257737730762,-0.03430365770752064,-0.2980141118316148,0.6585438572896604,-0.13268256725509925
21,Private,197200,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.19197879213173,17-24,standard_40,1,0,Private,3,15,4,6,3,4,1,38,0,3,1,-1.2872946873896012,-0.030615176983380503,-0.03430365770752064,-0.2980141118316148,0.33131391472877925,-0.13268256725509925
19,Private,544091,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,<=50K,train,0,1,1,0,0,0,0,0.0,13.206873629186362,17-24,reduced,1,1,Private,3,11,1,0,5,4,0,38,0,2,1,-1.433185694274857,-0.4196853759132791,-1.244876563778381,-0.2980141118316148,1.9403867753583233,-0.13268256725509925
31,Private,84154,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,Unknown,>50K,train,0,0,0,1,0,0,0,0.0,11.340415615560266,25-34,standard_40,0,1,Private,3,15,2,11,0,4,1,39,1,3,1,-0.5578396529633214,-0.030615176983380503,-0.19571337851696868,-0.2980141118316148,-1.01880350286418,-0.13268256725509925
48,Self-emp-not-inc,265477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.489287253707301,45-54,standard_40,1,1,Self-employed,5,7,2,9,0,4,1,38,3,3,2,0.6822339055613542,0.7475252208764167,-0.03430365770752064,-0.2980141118316148,0.8026839121810593,-0.13268256725509925
31,Private,507875,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,13.13799260227652,25-34,overtime,1,1,Private,3,6,2,6,0,4,1,38,1,0,1,-0.5578396529633214,-1.9759661716328734,0.20781092350665142,-0.2980141118316148,1.8311788190595448,-0.13268256725509925
53,Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.390836923913291,45-54,standard_40,1,1,Self-employed,5,9,2,9,0,4,1,38,3,3,2,1.046961422774494,1.1365954198063153,-0.03430365770752064,-0.2980141118316148,-0.9388626499737058,-0.13268256725509925
24,Private,172987,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.060977506912261,17-24,overtime,1,1,Private,3,9,2,12,0,4,1,38,0,0,1,-1.0684581770617172,1.1365954198063153,0.7727449463397196,-0.2980141118316148,0.12361691494308547,-0.13268256725509925
49,Private,94638,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.457824932239724,45-54,standard_40,1,0,Private,3,11,5,0,4,4,0,38,3,3,1,0.7551794090039822,-0.4196853759132791,-0.03430365770752064,-0.2980141118316148,-0.8326559946137208,-0.13268256725509925
25,Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.57757068257493,25-34,reduced,1,0,Private,3,11,4,5,1,4,1,38,1,2,1,-0.9955126736190893,-0.4196853759132791,-0.43782795973114075,-0.2980141118316148,0.9426535565695178,-0.13268256725509925
57,Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.730493434810473,55-64,standard_40,1,1,Government,0,9,2,9,0,2,1,38,4,3,0,1.338743436545006,1.1365954198063153,-0.03430365770752064,-0.2980141118316148,1.1851061156042064,-0.13268256725509925
53,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.880079312914011,45-54,standard_40,1,1,Private,3,11,2,6,0,4,1,38,3,3,1,1.046961422774494,-0.4196853759132791,-0.19571337851696868,-0.2980141118316148,-0.1631895243765115,-0.13268256725509925
44,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.762555141520265,35-44,standard_40,1,0,Private,3,12,0,3,4,4,0,38,2,3,1,0.3904518917908423,1.5256656187362139,-0.03430365770752064,-0.2980141118316148,-0.34951912992112355,-0.13268256725509925
41,State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.528838183430278,35-44,standard_40,1,1,Government,6,8,2,2,0,4,1,38,2,3,0,0.17161538146295835,0.35845502194651807,-0.03430365770752064,-0.2980141118316148,-0.7200674868552195,-0.13268256725509925
29,Private,271466,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.51159586400737,25-34,overtime,1,0,Private,3,8,4,9,1,4,1,38,1,0,1,-0.7037306598485774,0.35845502194651807,0.20781092350665142,-0.2980141118316148,0.838053270740787,-0.13268256725509925
25,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,10.382079198968396,25-34,standard_40,1,1,Private,3,15,2,3,5,3,0,38,1,3,1,-0.9955126736190893,-0.030615176983380503,-0.03430365770752064,-0.2980141118316148,-2.5382053787926693,-0.13268256725509925
18,Private,226956,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,Unknown,<=50K,train,0,1,0,0,0,0,0,0.0,12.332515851207145,17-24,reduced,0,0,Private,3,11,4,7,3,4,0,39,0,2,1,-1.5061311977174852,-0.4196853759132791,-0.8413522617547609,-0.2980141118316148,0.5541294808491223,-0.13268256725509925
47,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,>50K,train,0,1,0,1,-1902,0,1,0.0,10.855840167555305,45-54,very_high,0,1,Private,3,14,2,9,5,4,0,15,3,4,1,0.6092884021187263,1.9147358176661124,1.5797935503869598,-0.2980141118316148,-1.7870773908021997,-0.38704039855401356
50,Federal-gov,251585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K,train,0,1,0,1,0,0,0,0.0,12.435540158381071,45-54,very_high,1,0,Government,0,9,0,3,1,4,1,38,3,4,0,0.8281249124466101,1.1365954198063153,1.1762692483633397,-0.2980141118316148,0.7174701646384157,-0.13268256725509925
47,Self-emp-inc,109832,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,11.606716309350618,45-54,very_high,1,0,Self-employed,4,11,0,3,1,4,1,38,3,4,2,0.6092884021187263,-0.4196853759132791,1.5797935503869598,-0.2980141118316148,-0.5965950104173822,-0.13268256725509925
43,Private,237993,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.380000742251799,35-44,standard_40,1,1,Private,3,15,2,12,0,4,1,38,2,3,1,0.3175063883482143,-0.030615176983380503,-0.03430365770752064,-0.2980141118316148,0.6294147682308636,-0.13268256725509925
46,Private,216666,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K,train,0,0,0,0,0,0,0,0.0,12.286116891664065,45-54,standard_40,0,1,Private,3,4,2,6,0,4,1,25,3,3,1,0.5363428986760982,-2.7541065694926705,-0.03430365770752064,-0.2980141118316148,0.4805658919566126,-0.13268256725509925
35,Private,56352,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,<=50K,train,0,0,0,0,0,0,0,0.0,10.939390756737573,35-44,standard_40,0,1,Private,3,8,2,7,0,4,1,32,2,3,1,-0.2660576391928095,0.35845502194651807,-0.03430365770752064,-0.2980141118316148,-1.6546114636594853,-0.13268256725509925
41,Private,147372,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.900722066924857,35-44,overtime,1,1,Private,3,11,2,0,0,4,1,38,2,0,1,0.17161538146295835,-0.4196853759132791,0.6113352255302715,-0.2980141118316148,-0.13046131054117502,-0.13268256725509925
30,Private,188146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50K,train,0,0,0,0,5013,1,0,8.519989278718239,12.144978851169512,25-34,standard_40,1,1,Private,3,11,2,6,0,4,1,38,1,3,1,-0.6307851564059495,-0.4196853759132791,-0.03430365770752064,3.1850536250796604,0.25679749520202905,0.5377148082977173
30,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,<=50K,train,0,0,0,0,2407,1,0,7.786551806428712,10.993681170094515,25-34,standard_40,1,1,Private,3,9,2,11,0,4,1,38,1,3,1,-0.6307851564059495,1.1365954198063153,-0.03430365770752064,2.8852161120026807,-1.568536308347298,0.18920980915735428
32,Unknown,293936,7th-8th,4,Married-spouse-absent,Unknown,Not-in-family,White,Male,0,0,40,Unknown,<=50K,train,0,0,0,0,0,0,0,0.0,12.591120737644069,25-34,standard_40,0,1,Unpaid/Unknown,7,5,3,14,1,4,1,39,1,3,3,-0.4848941495206935,-2.365036370562772,-0.03430365770752064,-0.2980141118316148,0.9641365960685291,-0.13268256725509925
48,Private,149640,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.915994371144912,45-54,standard_40,1,1,Private,3,11,2,13,0,4,1,38,3,3,1,0.6822339055613542,-0.4196853759132791,-0.03430365770752064,-0.2980141118316148,-0.10624771781950318,-0.13268256725509925
42,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,train,0,0,0,1,0,0,0,0.0,11.666787531724168,35-44,overtime,1,1,Private,3,10,2,9,0,4,1,38,2,0,1,0.24456088490558633,2.303806016596011,0.36922064431609947,-0.2980141118316148,-0.5013546267864645,-0.13268256725509925
29,Private,105598,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,11.56740418051249,25-34,very_high,1,0,Private,3,15,0,12,1,4,1,38,1,4,1,-0.7037306598485774,-0.030615176983380503,1.4183838295775117,-0.2980141118316148,-0.658922728814869,-0.13268256725509925
36,Private,155537,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,11.954645353737565,35-44,standard_40,1,1,Private,3,11,2,2,0,4,1,38,2,3,1,-0.19311213575018155,-0.4196853759132791,-0.03430365770752064,-0.2980141118316148,-0.04496821884501464,-0.13268256725509925
28,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.118202718273533,25-34,standard_40,1,0,Private,3,15,0,0,1,4,0,38,1,3,1,-0.7766761632912054,-0.030615176983380503,-0.03430365770752064,-0.2980141118316148,0.21434506842590403,-0.13268256725509925
53,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.042653310789234,45-54,standard_40,1,1,Private,3,11,2,0,5,4,0,38,3,3,1,1.046961422774494,-0.4196853759132791,-0.03430365770752064,-0.2980141118316148,0.09456467662449741,-0.13268256725509925
49,Self-emp-inc,191681,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.16359302791155,45-54,overtime,1,1,Self-employed,4,15,2,3,0,4,1,38,3,0,2,0.7551794090039822,-0.030615176983380503,0.7727449463397196,-0.2980141118316148,0.28630948553345853,-0.13268256725509925
25,Unknown,200681,Some-college,10,Never-married,Unknown,Own-child,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.209476844663737,25-34,standard_40,1,0,Unpaid/Unknown,7,15,4,14,3,4,1,38,1,3,3,-0.9955126736190893,-0.030615176983380503,-0.03430365770752064,-0.2980141118316148,0.3590563373080823,-0.13268256725509925
19,Private,101509,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,11.527912594778476,17-24,reduced,1,0,Private,3,15,4,9,3,4,1,38,0,2,1,-1.433185694274857,-0.030615176983380503,-0.6799425409453128,-0.2980141118316148,-0.7215349685344474,-0.13268256725509925
31,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.644246928048043,25-34,standard_40,1,0,Private,3,9,5,11,3,2,0,38,1,3,1,-0.5578396529633214,1.1365954198063153,-0.03430365770752064,-0.2980141118316148,1.0483659251049826,-0.13268256725509925
29,Self-emp-not-inc,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,>50K,train,0,1,0,1,0,0,0,0.0,11.997195592054249,25-34,very_high,1,1,Self-employed,5,9,2,11,0,4,1,38,1,4,2,-0.7037306598485774,1.1365954198063153,2.3868421544342002,-0.2980141118316148,0.022493385243340835,-0.13268256725509925
